,0
0,0.24213345189317984
1,0.45946110109724814
2,0.17666940538425394
3,0.110283228891078
4,0.11978710525680647
5,0.015481309298276909
6,0.32239737317717393
7,0.18002217134033865
8,-0.014836422836429369
9,0.2761848698080876
10,0.29657300175594636
11,0.05202078844423623
12,0.41746381593264936
13,0.06385183482176468
14,0.11000810340048896
15,-0.003951862484504649
16,0.05503329187021064
17,0.16373846956209198
18,0.18691509410519822
19,0.16913112376169465
20,0.31085911936349914
21,0.34311143012365164
22,0.2948182499359828
23,0.1671104937405175
24,0.24840334850332976
25,0.22639142302861934
26,0.11454484175705826
27,0.19527442104025824
28,0.22788988293816015
29,0.3353143975773975
30,0.6179706609946426
31,0.056097697850506265
32,0.12976857542313366
33,-0.03350693677123084
34,-0.023225084942593722
35,-0.024265222904572975
36,-0.07786874281395183
37,0.2391117125587869
38,0.17861580093904178
39,0.21963034563352543
40,-0.1995918359050256
41,0.02547124822275247
42,0.06086659087118433
43,0.35257595913822587
44,-0.015429465743848094
45,0.052625956041349856
46,0.1401425103625057
47,-0.0834130789488439
48,0.08385713317243874
49,-0.04486386228728013
50,0.2192463638368116
51,-0.03137755822381032
52,0.14783865445855127
53,0.4106290612126482
54,0.0779316532446521
55,0.23486432111429548
56,0.06790171631946873
57,0.28685461778412175
58,0.04946316096254959
59,-0.1354686698402958
60,0.04473968058301955
61,0.005487477093129748
62,0.08021589056409469
63,0.09408922769153172
64,0.06206988378345007
65,-0.052443416701301364
66,0.20498406208471492
67,0.1584247133563969
68,0.08896778787612095
69,0.27617917807400094
70,0.05044403794757703
71,0.18537703271837802
72,-0.007554675734308312
73,0.324301610683679
74,0.029917845063623903
75,0.026849933450323125
76,-0.15123387284480097
77,0.12484125470371255
78,0.23821129997752252
79,0.26312318704930887
80,0.2012194235822378
81,0.10348686370516844
82,0.20273112949643385
83,0.1583069460727226
84,0.29191537693976743
85,-0.08388684303208235
86,-0.3110599500105608
87,0.4586200508029517
88,0.1394860134711209
89,0.4489717738264488
90,0.23342303397530526
91,-0.303271865813371
92,-0.02585804577817921
93,0.11031219589307428
94,-0.12279419385980532
95,-0.020761419415940043
96,0.26495119352443763
97,-0.12819295759439406
98,0.1790992442643774
99,0.31230789300212
100,0.2851281422148788
101,0.20542768919688945
102,-0.20392540335934772
103,0.11061761006817716
104,0.1388271211199137
105,-0.08821198167107094
106,0.10612543653163906
107,0.21086980473351877
108,-0.12138142856045352
109,-0.011669410862256313
110,-0.21340783792686274
111,-0.19624017092775053
112,0.33185734501868935
113,-0.03699994729029834
114,0.30812721481941907
